iter	MultiClass
0	2.379401226
1	2.031160255
2	1.789267917
3	1.595441606
4	1.447427867
5	1.32253639
6	1.217231918
7	1.125274078
8	1.045110242
9	0.9704925022
10	0.9077624049
11	0.8511874536
12	0.7987899447
13	0.7511207092
14	0.7052057279
15	0.6647335258
16	0.6303432283
17	0.5957025043
18	0.56243389
19	0.5316431432
20	0.5008631193
21	0.4750397242
22	0.4500565005
23	0.4259846855
24	0.4042777427
25	0.3849548797
26	0.3671647715
27	0.3494544653
28	0.3321513153
29	0.3177343565
30	0.3032545993
31	0.2884343294
32	0.275923299
33	0.2635874906
34	0.2514053779
35	0.2409146815
36	0.2301518742
37	0.2203116326
38	0.2101037932
39	0.2009943293
40	0.1918072081
41	0.1835050889
42	0.1760455658
43	0.1691163811
44	0.1617311272
45	0.1550619741
46	0.1482974632
47	0.1420395475
48	0.1362993889
49	0.1305332064
50	0.1254342108
51	0.1208338796
52	0.1161402773
53	0.1112623088
54	0.1070620757
55	0.103112658
56	0.0991042215
57	0.09539086716
58	0.09179856643
59	0.08843834042
60	0.08526927705
61	0.08216834751
62	0.0794857193
63	0.07660788509
64	0.07427350973
65	0.07177451306
66	0.06951857635
67	0.06713435023
68	0.06489716132
69	0.06332038604
70	0.06132684643
71	0.05927717035
72	0.05744825297
73	0.05577239322
74	0.0543787695
75	0.05291274286
76	0.05151234936
77	0.04994597379
78	0.04845055892
79	0.04762575786
80	0.04647231542
81	0.04554092828
82	0.04468778614
83	0.04367411978
84	0.0430896312
85	0.04222560752
86	0.04156946251
87	0.04078753965
88	0.03998809572
89	0.03950993628
90	0.03854986682
91	0.03809743651
92	0.03752979642
93	0.0367831865
94	0.03670839437
95	0.03617846123
96	0.03543702383
97	0.03493940025
98	0.0340629695
99	0.03350415601
100	0.03285167528
101	0.03232048884
102	0.03170696282
103	0.03114714514
104	0.03045472968
105	0.0299319416
106	0.02939343792
107	0.0289778209
108	0.0285719725
109	0.02817031653
110	0.02776395813
111	0.02739217409
112	0.02724436617
113	0.02689586055
114	0.02647256069
115	0.02631267776
116	0.02591178587
